rating,cast,hotstar,netflix,Movies,Language,year
10.0,"['Rishabh', 'Vaishnavi']",1,0,Katara,Hindi,2026
8.0,"['Yash', 'Srinidhi']",1,1,Kgf,Kannada,2018
10.0,"['Sanjay', 'karishma']",1,1,Dhamal,Hindi,2007
5.0,"['Aamir Khan', 'Genelia Deshmukh']",0,0,Sinna,Telugu,2024
7.0,"['Aamir', 'Anushka']",0,1,Pk,Hindi,2014
1.0,"['Ajay', 'kareena']",1,0,Golmal,Hindi,2006
2.0,"['Ranveer', 'Sara']",0,1,Dhurandar,Hindi,2025
8.0,"['Prabhas', 'Shruti']",1,0,Salaar,Telugu,2023
1.0,"['Emraan', 'Neha']",1,1,Rush,Hindi,2012
6.0,"['Prabhas', 'Anushka']",0,0,Bahubali,Telugu,2015
